item_id	score
815	1.597234203958847
294	1.592192307331314
61	1.587882168209801
1405	1.5792331346113389
497	1.576695992330607
527	1.5748427300244527
374	1.5724887547715412
928	1.571061161892474
798	1.5678962872108388
1229	1.565845452554416
744	1.5648538428609964
265	1.5630695429447656
360	1.5610048541234605
223	1.5609206710923602
897	1.5607104090414063
1293	1.5607104090414063
691	1.5590931042048033
171	1.5571130980576458
419	1.5571130980576458
848	1.5571130980576458
1233	1.5571130980576455
870	1.556910568114504
666	1.5558794724488303
466	1.5556646696181333
1343	1.5544328269016834
1058	1.553019134703412
1225	1.5530014019808
233	1.5525140696556048
1146	1.5508457063832817
940	1.5498260458782016
906	1.5494170420810358
964	1.5465986860485126
976	1.5465986860485126
1117	1.5465986860485126
1317	1.5465986860485126
1226	1.5465986860485124
477	1.5456055131100814
451	1.5454229031935938
1421	1.5437891850588954
995	1.5437672979880863
930	1.5419584371829487
331	1.54065205313336
8	1.5389266301898288
123	1.5354206959078445
563	1.5351908491313153
598	1.5351908491313153
468	1.5347676808102217
517	1.533893392285119
1115	1.533263066909204
341	1.5305397243418035
316	1.530467652890292
1223	1.53022074156986
602	1.5300089139055837
1192	1.5292482930376914
585	1.5288460918887299
796	1.528652087172375
883	1.5270355158941487
1243	1.5260394155804642
1116	1.5257607683920602
885	1.5256715197633526
410	1.5247073930301436
1142	1.5247073930301436
1301	1.5247073930301436
890	1.5242564032679284
391	1.5235967393304184
413	1.5233999822609356
572	1.522961660632849
614	1.5227235330986488
955	1.5227136689800211
269	1.5226965458840906
886	1.5214620898340783
352	1.5203298028074628
925	1.5196918474879466
252	1.5184174505936268
1059	1.518267124767796
262	1.5179142731543076
700	1.5178210748928995
1083	1.5176745294625686
402	1.5171063970610277
972	1.5171063970610277
1246	1.5171063970610275
1315	1.515707952085713
1453	1.5157079520857129
954	1.5154125178887332
594	1.514340872488177
59	1.5138149024461531
680	1.5134058386196787
742	1.5123786573528997
520	1.5104288998570303
181	1.5100527352298625
814	1.509971678751745
1042	1.5095825913076644
797	1.509544687783763
348	1.5089424503045463
849	1.5082642804351818
175	1.5081132446402752
381	1.5080715571604042
1070	1.5077294282174092
526	1.507519552871314
1031	1.5068409398295437
